ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0869FSG86,"Qibaok 1500pcs Wire Connectors - Insulated Electrical Wire Terminals (Copper) - Ring, Butt, Spade, Fork Connector Kit - Red, Blue, Yellow",$26.99,"$1,307",3545,2352,4.6,FBA,1,No
B0B779THMB,"Kuject Ultimate Heat Shrink Wire Connectors, 1500PCS Waterproof Electrical Spade Connectors kit, Insulated Crimp Ring Fork Spade Terminal T-Tap Solder Butt Splice Connector for Marine Boat Truck",$99.99,$919,10603,1680,4.5,FBA,2,No
B0CYM4Q816,"600Pcs Heat Shrink Wire Connectors Electrical Kit - Oiojuct Marine Automotive Crimp Terminals Assortment, Waterproof Ring Fork Spade Electrical Butt Connector",$36.98,"$6,447",738,1629,4.6,FBA,3,No
B0B4H54KPS,"Feggizuli 280PCS Crimp Connectors, 2.8mm 4.8mm 6.3mm Male and Female Spade Connector kit, 15 Types Crimp Terminals Electrical Connectors, Electrical Terminals Includes Spade Ring Fork Wire Connectors",$7.69,"$5,168",1015,4238,4.6,FBA,4,No
B0DM8DTNL2,"AIRIC 12-10 AWG Heat Shrink Ring Terminals Kit #10, 1/4"", 5/16"", 3/8"", Copper Terminal Connector Ends, Battery Cable Lugs, Yellow Electrical Crimp Connectors, Wire Lug for 12, 10 Gauge Wires, 50 PCS",$9.99,"$12,581",283,205,4.8,FBA,5,No
B0FJ8PNH55,150PCS Mixed Quick Disconnect Electrical Insulated Butt Bullet Spade Fork Ring Solderless Crimp Terminals 18 Types Wire Connectors Assortment Kit,$5.99,$504,21326,88,4.3,FBA,6,No
B086Z2Y1D6,"TICONN 120Pcs Heat Shrink Wire Connectors, Waterproof Automotive Marine Electrical Terminals Kit, Crimp Connector Assortment, Ring Fork Spade Butt Splices",$9.99,"$18,946",354,14596,4.6,FBA,7,No
B0G34JWG2W,"haisstronica 220PCS Nylon Spade Connectors Kit, 22-10 AWG Fully Insulated Male & Female Quick Disconnect Spade Terminals, Electrical Wire Crimp Connectors for Automotive Marine",$16.99,$290,24337,27,4.4,FBA,8,No
B01E4QYWL8,Glarks 355pcs 22-16/16-14/12-10 Gauge Mixed Quick Disconnect Electrical Insulated Butt Bullet Spade Fork Ring Solderless Crimp Terminals Connectors Assortment Kit,$15.99,$43,120598,294,4.6,FBA,9,No
B09XGQN2NS,"TKDMR 160Pcs Copper Wire Lugs AWG2 4 6 8 10 12 with Heat Shrink Set, 80Pcs Battery Cable Ends Ring Terminals Connectors Tubing Assortment Kit",$13.59,"$7,180",521,5725,4.5,FBA,10,No
