ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D8J5SV3C,"Psecici Silicone Scar Sheets, Medical Grade Silicone Scar Tape for Surgical, Hypertrophic, Keloid, C-Section, Burn, Old & New Scars, Reusable Professional Scars Removal Sheets (1.6""X 59"" Roll-1.5M)",$9.36,"$19,908",291,9374,4.3,FBA,1,No
B01DMNY6JM,"Embrace Active Scar Defense for New Scars, FDA-Cleared Silicone Scar Sheets, 2.4 Inch, Medium, 60 Day Supply (Recommended Treatment)",$46.00,$345,63091,279,3.1,FBA,2,No
B0F6XY8BGG,"Silicone Scar Sheets, Silicone Scar Tape(1.6""x 158"" Roll-4 meters), Silicone Scar Sheets for Surgical Scars, Scar Tape for Surgical, C-Section, Burn, Hypertrophic & Keloid Scars",$9.98,"$2,693",9445,423,4.5,FBA,3,No
B0DSFZMQ4H,"Silicone Scar Sheets (1.6” x 150”-3.8M), Medical Grade Soft Silicone Scar Tape, Scar Strips, Scar Roll - Keloid, C-Section, Surgical, Acne- Scars Removal Treatment, Painless Easy Removal, Reusable",$8.99,$956,26810,260,4.5,FBA,4,No
B0D469PH7D,"ViveCare Silicone Scar Sheets Tape (1.6"" x 120"" Roll) – Medical Grade Silicone Scar Tape for Surgical Scars, C Section, Keloid & Hypertrophic Scars – Waterproof, Reusable, Adhesive Scar Treatment Roll",$12.99,$172,103453,78,4.5,FBA,5,No
B00ID53FDS,"PHARMAIDEA Srl CICA-Care Self-Adhesive Silicone Gel Sheet for Scar Management, Wound Care Product, 12 cm by 6 cm White/Orange",$10.82,$535,48624,466,4.2,FBA,6,No
B000GG0TQI,"Smith & Nephew CICA-Care Self-Adhesive Silicone Gel Sheet for Scar Management, Wound Care Product, 5 Inches by 6 Inches",$20.50,$670,40300,788,4.2,FBA,7,No
B002676C5C,"Cica-Care Silicone Gel Adhesive Sheet (5"" x 6"")",$22.85,"$1,503",22552,1724,4.4,FBA,8,No
B09179GNHH,"ScarAway Advanced Clear Silicone Scar Sheets, Medical Grade Silicone Strips (1.5"" x 3"") Scar Treatment and Prevention for Surgical, Burn, Body, Hypertrophic & Keloid Scar Treatment, 6 Clear Sheets",$14.90,"$24,141",1367,5542,4.1,FBA,9,No
B09WFQRS5P,"NUVADERMIS Silicone Scar Sheets for Surgical Scars - 120"" x 1.5"" Roll - Medical Grade Silicone Scar Tape and Face Tape for Wrinkles, Keloid Scars, and Hypertrophic Scars - Reusable - 1 Pack",$24.99,"$41,325",823,22085,4.3,FBA,10,No
